Window training time,Source ID,Collection time,Publishing time,Polling time,Preprocessing time start,Preprocessing time end,Data arrival time,training_epoch_start,training_epoch_end,training_round_start,training_round_end,local_model_size,global_model_size
3959098078,37f483c2,1750109195.6678343,3959098075.567456,3959098075.854072,3959098078.094053,3959098078.2316685,3959098078.979447,1750109199.0936964,1750109200.0323904,0,1750109174.8698158,,0,48
3959098078,37f483c2,1750109195.6678343,3959098075.567456,3959098075.854072,3959098078.094053,3959098078.2316685,3959098079.257027,1750109199.3714802,1750109200.1206398,0,1750109173.2490478,,0,48
3959098080,37f483c2,1750109198.1890738,3959098078.09251,3959098079.5357137,3959098080.0409956,3959098080.1639137,3959098080.1946588,1750109200.3088603,1750109200.9876792,0,1750109174.8753252,,0,48
3959098080,37f483c2,1750109198.1890738,3959098078.09251,3959098079.5357137,3959098080.0409956,3959098080.1639137,3959098080.422548,1750109200.536798,1750109201.1975937,0,1750109173.2490478,,0,48
3959098080,37f483c2,1750109198.1890738,3959098078.09251,3959098079.5357137,3959098080.0409956,3959098080.1639137,3959098080.235985,1750109200.3501644,1750109201.3193262,0,1750109174.8698158,,0,48
3959098081,50931061,1750109200.1266348,3959098080.0336227,3959098080.5694256,3959098081.961186,3959098082.1073565,3959098082.1942105,1750109202.3084767,1750109202.9612617,0,1750109174.8698158,1750109202.9612653,0,48
3959098081,50931061,1750109200.1266348,3959098080.0336227,3959098080.5694256,3959098081.961186,3959098082.1073565,3959098082.138533,1750109202.2525637,1750109202.9810529,0,1750109174.8753252,1750109202.9810576,0,48
3959098081,50931061,1750109200.1266348,3959098080.0336227,3959098080.5694256,3959098081.961186,3959098082.1073565,3959098082.468385,1750109202.5824437,1750109203.2268002,0,1750109173.2490478,1750109203.2268035,0,48
3959098083,50931061,1750109202.160199,3959098082.0658307,3959098082.598802,3959098083.988608,3959098084.173403,3959098084.2323313,1750109204.5011492,1750109205.3486018,0,1750109204.50112,,55315,55389
3959098083,50931061,1750109202.160199,3959098082.0658307,3959098082.598802,3959098083.988608,3959098084.173403,3959098084.366748,1750109204.7394109,1750109205.9032836,0,1750109204.7393796,,55315,55389
3959098083,50931061,1750109202.160199,3959098082.0658307,3959098082.598802,3959098083.988608,3959098084.173403,3959098084.460666,1750109205.4299192,1750109206.0876772,0,1750109205.4298806,,55315,55389
3959098086,73cc0ebb,1750109204.0879862,3959098083.9824996,3959098084.527745,3959098086.023574,3959098086.1743693,3959098086.3979626,1750109206.5118296,1750109207.3578546,0,1750109204.50112,,55315,55389
3959098086,73cc0ebb,1750109204.0879862,3959098083.9824996,3959098084.527745,3959098086.023574,3959098086.1743693,3959098086.3546863,1750109206.4684103,1750109207.3672342,0,1750109204.7393796,,55315,55389
3959098086,73cc0ebb,1750109204.0879862,3959098083.9824996,3959098084.527745,3959098086.023574,3959098086.1743693,3959098086.605546,1750109206.7214105,1750109207.4041376,0,1750109205.4298806,,55315,55389
3959098087,50931061,1750109206.1159937,3959098086.011831,3959098086.7336516,3959098087.9478884,3959098088.067395,3959098088.088742,1750109208.2024956,1750109209.0436158,0,1750109204.50112,1750109209.0436199,55315,55389
3959098087,50931061,1750109206.1159937,3959098086.011831,3959098086.7336516,3959098087.9478884,3959098088.067395,3959098088.2308044,1750109208.3455935,1750109209.055594,0,1750109204.7393796,1750109209.055597,55315,55389
3959098087,50931061,1750109206.1159937,3959098086.011831,3959098086.7336516,3959098087.9478884,3959098088.067395,3959098088.380267,1750109208.4968622,1750109209.0820286,0,1750109205.4298806,1750109209.0820324,55315,55389
3959098090,73cc0ebb,1750109208.0272322,3959098087.9381013,3959098088.414766,3959098090.0284724,3959098090.16824,3959098090.197981,1750109210.3115733,1750109211.1835222,0,1750109209.332814,,55315,55389
3959098090,73cc0ebb,1750109208.0272322,3959098087.9381013,3959098088.414766,3959098090.0284724,3959098090.16824,3959098090.348713,1750109210.4672906,1750109211.2675805,0,1750109209.4286418,,55315,55389
3959098090,73cc0ebb,1750109208.0272322,3959098087.9381013,3959098088.414766,3959098090.0284724,3959098090.16824,3959098090.5151353,1750109210.6287766,1750109211.5785284,0,1750109209.3185542,,55315,55389
3959098091,406fed66,1750109210.1113465,3959098090.017759,3959098090.5383277,3959098091.9203525,3959098092.0597577,3959098092.105196,1750109212.219343,1750109213.300152,0,1750109209.332814,,55315,55389
3959098091,406fed66,1750109210.1113465,3959098090.017759,3959098090.5383277,3959098091.9203525,3959098092.0597577,3959098092.163612,1750109212.2770953,1750109213.333458,0,1750109209.4286418,,55315,55389
