Window training time,Source ID,Collection time,Publishing time,Preprocessing time start,Preprocessing time end,Data arrival time
3958921074,902cf9f4,1749932200.1738973,3958921071.5666637,3958921074.8378386,3958921074.966266,1749932210.4907663
3958921076,0ff69e4e,1749932203.422583,3958921074.8076386,3958921076.8048778,3958921076.9474926,1749932211.8759024
3958921078,50f9fea2,1749932205.4583445,3958921076.8368545,3958921078.7720547,3958921078.9009237,1749932212.7669837
3958921080,0ff69e4e,1749932207.3853488,3958921078.7641296,3958921080.7333617,3958921080.9004164,1749932213.017449
3958921082,c4672d96,1749932209.360608,3958921080.7399874,3958921082.831662,3958921082.9623713,1749932213.2273512
3958921084,50f9fea2,1749932211.4356308,3958921082.8179383,3958921084.767006,3958921084.905647,1749932213.5783749
3958921086,a2460651,1749932213.3722332,3958921084.752754,3958921086.759901,3958921086.9138584,1749932215.68859
3958921088,902cf9f4,1749932215.381772,3958921086.7598896,3958921088.725852,3958921088.882907,1749932217.7943225
3958921090,a2460651,1749932217.3631363,3958921088.7424154,3958921090.735752,3958921090.8710103,1749932219.5675309
3958921092,a2460651,1749932219.386316,3958921090.764954,3958921092.693059,3958921092.8388147,1749932221.520545
3958921094,c4672d96,1749932221.3194075,3958921092.6979876,3958921094.659891,3958921094.782074,1749932223.4540226
3958921096,c4672d96,1749932223.268798,3958921094.655889,3958921096.6779222,3958921096.8031187,1749932225.58337
3958921098,c4672d96,1749932225.2835982,3958921096.6640706,3958921098.5650263,3958921098.689422,1749932227.801446
3958921100,c4672d96,1749932227.2404766,3958921098.6200128,3958921100.547774,3958921100.679305,1749932229.352735
3958921102,a2460651,1749932229.1626427,3958921100.544798,3958921102.4850907,3958921102.626173,1749932231.3005645
3958921074,902cf9f4,1749932200.1738973,3958921071.5666637,3958921074.8378386,3958921074.966266,1749932234.7110076
3958921074,902cf9f4,1749932200.1738973,3958921071.5666637,3958921074.8378386,3958921074.966266,1749932234.747777
3958921076,0ff69e4e,1749932203.422583,3958921074.8076386,3958921076.8048778,3958921076.9474926,1749932235.0938132
3958921076,0ff69e4e,1749932203.422583,3958921074.8076386,3958921076.8048778,3958921076.9474926,1749932235.9207268
3958921078,50f9fea2,1749932205.4583445,3958921076.8368545,3958921078.7720547,3958921078.9009237,1749932236.1138482
3958921080,0ff69e4e,1749932207.3853488,3958921078.7641296,3958921080.7333617,3958921080.9004164,1749932236.3836367
3958921078,50f9fea2,1749932205.4583445,3958921076.8368545,3958921078.7720547,3958921078.9009237,1749932236.4194608
3958921082,c4672d96,1749932209.360608,3958921080.7399874,3958921082.831662,3958921082.9623713,1749932236.6432612
3958921080,0ff69e4e,1749932207.3853488,3958921078.7641296,3958921080.7333617,3958921080.9004164,1749932236.6395082
3958921082,c4672d96,1749932209.360608,3958921080.7399874,3958921082.831662,3958921082.9623713,1749932236.8911574
3958921084,50f9fea2,1749932211.4356308,3958921082.8179383,3958921084.767006,3958921084.905647,1749932236.9150572
3958921084,50f9fea2,1749932211.4356308,3958921082.8179383,3958921084.767006,3958921084.905647,1749932237.1534874
3958921086,a2460651,1749932213.3722332,3958921084.752754,3958921086.759901,3958921086.9138584,1749932237.1543353
3958921088,902cf9f4,1749932215.381772,3958921086.7598896,3958921088.725852,3958921088.882907,1749932237.4925423
3958921086,a2460651,1749932213.3722332,3958921084.752754,3958921086.759901,3958921086.9138584,1749932237.5343828
3958921090,a2460651,1749932217.3631363,3958921088.7424154,3958921090.735752,3958921090.8710103,1749932237.948564
3958921088,902cf9f4,1749932215.381772,3958921086.7598896,3958921088.725852,3958921088.882907,1749932237.961586
3958921092,a2460651,1749932219.386316,3958921090.764954,3958921092.693059,3958921092.8388147,1749932238.1802485
3958921090,a2460651,1749932217.3631363,3958921088.7424154,3958921090.735752,3958921090.8710103,1749932238.2308617
3958921094,c4672d96,1749932221.3194075,3958921092.6979876,3958921094.659891,3958921094.782074,1749932238.5293164
3958921092,a2460651,1749932219.386316,3958921090.764954,3958921092.693059,3958921092.8388147,1749932238.5356424
3958921094,c4672d96,1749932221.3194075,3958921092.6979876,3958921094.659891,3958921094.782074,1749932238.861585
3958921096,c4672d96,1749932223.268798,3958921094.655889,3958921096.6779222,3958921096.8031187,1749932238.9872
3958921098,c4672d96,1749932225.2835982,3958921096.6640706,3958921098.5650263,3958921098.689422,1749932240.1906538
3958921096,c4672d96,1749932223.268798,3958921094.655889,3958921096.6779222,3958921096.8031187,1749932240.3111353
